Fecha,CodigoPlanta,TipoGeneracion,TipoClasificacion,TipoDespachoRecurso,GeneracionRealEstimada kWh,GeneracionProgramadaDespacho kWh,GeneracionProgramadaRedespacho kWh
2013-02-20,GUATAPE 560MW,Hidraulica,tipo no identificado,Despachado Centralmente,13401976.0,13401976.0,13440000.0
2013-02-19,GUATAPE 560MW,Hidraulica,tipo no identificado,Despachado Centralmente,13054795.0,13054795.0,13090000.0
2013-02-19,FLORES1CC_160MW,Termica,Termica,Despachado Centralmente,1204453.75,1204453.75,1184000.0
2013-02-19,PORCE II 405MW,Hidraulica,tipo no identificado,Despachado Centralmente,6073381.0,6073381.0,6157760.0
2013-02-19,GUAJIRA1 CARBON 145MW,Termica,Termica,Despachado Centralmente,1909920.0,1909920.0,1855715.0
2013-02-18,FLORES1CC_160MW,Termica,Termica,Despachado Centralmente,1581160.25,1581160.25,1560000.0
2013-02-18,GUATAPE 560MW,Hidraulica,tipo no identificado,Despachado Centralmente,13407360.0,13407360.0,13440000.0
2013-02-18,PORCE II 405MW,Hidraulica,tipo no identificado,Despachado Centralmente,0.0,0.0,0.0
2013-02-18,GUAJIRA1 CARBON 145MW,Termica,Termica,Despachado Centralmente,3204120.0,3204120.0,3292320.0
2013-02-17,FLORES1CC_160MW,Termica,Termica,Despachado Centralmente,1581617.75,1581617.75,1560000.0
2013-02-17,PORCE II 405MW,Hidraulica,tipo no identificado,Despachado Centralmente,920.0,920.0,0.0
2013-02-17,GUAJIRA1 CARBON 145MW,Termica,Termica,Despachado Centralmente,2881560.0,2881560.0,2949660.0
2013-02-17,GUATAPE 560MW,Hidraulica,tipo no identificado,Despachado Centralmente,13290169.0,13290169.0,13287000.0
2013-02-16,FLORES1CC_160MW,Termica,Termica,Despachado Centralmente,1456510.13,1456510.13,1433000.0
2013-02-16,GUATAPE 560MW,Hidraulica,tipo no identificado,Despachado Centralmente,12666867.0,12666867.0,12720000.0
2013-02-16,GUAJIRA1 CARBON 145MW,Termica,Termica,Despachado Centralmente,3365640.0,3365640.0,3480000.0
2013-02-16,PORCE II 405MW,Hidraulica,tipo no identificado,Despachado Centralmente,6190680.5,6190680.5,6141980.0
2013-02-15,GUATAPE 560MW,Hidraulica,tipo no identificado,Despachado Centralmente,3142195.25,3142195.25,1905440.0
2013-02-15,FLORES1CC_160MW,Termica,Termica,Despachado Centralmente,1152079.5,1152079.5,1054000.0
2013-02-15,PORCE II 405MW,Hidraulica,tipo no identificado,Despachado Centralmente,9197701.0,9197701.0,9459000.0
2013-02-15,GUAJIRA1 CARBON 145MW,Termica,Termica,Despachado Centralmente,3294120.0,3294120.0,3480000.0
2013-02-14,FLORES1CC_160MW,Termica,Termica,Despachado Centralmente,2814903.0,2814903.0,2884000.0
2013-02-14,GUAJIRA1 CARBON 145MW,Termica,Termica,Despachado Centralmente,3368340.0,3368340.0,3480000.0
2013-02-14,PORCE II 405MW,Hidraulica,tipo no identificado,Despachado Centralmente,20240.0,20240.0,0.0
2013-02-14,GUATAPE 560MW,Hidraulica,tipo no identificado,Despachado Centralmente,12560204.0,12560204.0,12720000.0
2013-02-13,FLORES1CC_160MW,Termica,Termica,Despachado Centralmente,2300199.5,2300199.5,2300199.5
2013-02-13,GUATAPE 560MW,Hidraulica,tipo no identificado,Despachado Centralmente,13009359.0,13009359.0,13009359.0
2013-02-13,GUAJIRA1 CARBON 145MW,Termica,Termica,Despachado Centralmente,3358860.0,3358860.0,3358860.0
2013-02-13,PORCE II 405MW,Hidraulica,tipo no identificado,Despachado Centralmente,0.0,0.0,0.0
2013-02-12,GUAJIRA1 CARBON 145MW,Termica,Termica,Despachado Centralmente,3158340.0,3158340.0,3229000.0
2013-02-12,PORCE II 405MW,Hidraulica,tipo no identificado,Despachado Centralmente,6946921.0,6946921.0,7365000.0
2013-02-12,GUATAPE 560MW,Hidraulica,tipo no identificado,Despachado Centralmente,13208676.0,13208676.0,13185000.0
2013-02-12,FLORES1CC_160MW,Termica,Termica,Despachado Centralmente,1211828.75,1211828.75,1185000.0
2013-02-11,PORCE II 405MW,Hidraulica,tipo no identificado,Despachado Centralmente,8947001.0,8947001.0,9204000.0
2013-02-11,GUAJIRA1 CARBON 145MW,Termica,Termica,Despachado Centralmente,3352140.0,3352140.0,3480000.0
2013-02-11,GUATAPE 560MW,Hidraulica,tipo no identificado,Despachado Centralmente,11380844.0,11380844.0,11682900.0
2013-02-11,FLORES1CC_160MW,Termica,Termica,Despachado Centralmente,0.0,0.0,0.0
2013-02-10,GUATAPE 560MW,Hidraulica,tipo no identificado,Despachado Centralmente,13338332.0,13338332.0,13348000.0
2013-02-10,FLORES1CC_160MW,Termica,Termica,Despachado Centralmente,320086.0,320086.0,309000.0
2013-02-10,GUAJIRA1 CARBON 145MW,Termica,Termica,Despachado Centralmente,3213360.0,3213360.0,3302000.0
2013-02-10,PORCE II 405MW,Hidraulica,tipo no identificado,Despachado Centralmente,78660.0,78660.0,0.0
2013-02-09,GUAJIRA1 CARBON 145MW,Termica,Termica,Despachado Centralmente,3358920.0,3358920.0,3480000.0
2013-02-09,GUATAPE 560MW,Hidraulica,tipo no identificado,Despachado Centralmente,12980791.0,12980791.0,13409280.0
2013-02-09,FLORES1CC_160MW,Termica,Termica,Despachado Centralmente,3414005.25,3414005.25,3510000.0
2013-02-09,PORCE II 405MW,Hidraulica,tipo no identificado,Despachado Centralmente,0.0,0.0,0.0
2013-02-08,PORCE II 405MW,Hidraulica,tipo no identificado,Despachado Centralmente,1046040.13,1046040.13,1083560.0
2013-02-08,GUAJIRA1 CARBON 145MW,Termica,Termica,Despachado Centralmente,3377280.0,3377280.0,3480000.0
2013-02-08,GUATAPE 560MW,Hidraulica,tipo no identificado,Despachado Centralmente,12622125.0,12622125.0,12411040.0
2013-02-08,FLORES1CC_160MW,Termica,Termica,Despachado Centralmente,761157.69,761157.69,644000.0
2013-02-07,PORCE II 405MW,Hidraulica,tipo no identificado,Despachado Centralmente,9401481.0,9401481.0,9720000.0
2013-02-07,FLORES1CC_160MW,Termica,Termica,Despachado Centralmente,1289264.25,1289264.25,644000.0
2013-02-07,GUATAPE 560MW,Hidraulica,tipo no identificado,Despachado Centralmente,13411272.0,13411272.0,13440000.0
2013-02-07,GUAJIRA1 CARBON 145MW,Termica,Termica,Despachado Centralmente,3366240.0,3366240.0,3480000.0
2013-02-06,GUAJIRA1 CARBON 145MW,Termica,Termica,Despachado Centralmente,3391560.0,3391560.0,3480000.0
2013-02-06,FLORES1CC_160MW,Termica,Termica,Despachado Centralmente,712613.88,712613.88,644000.0
2013-02-06,PORCE II 405MW,Hidraulica,tipo no identificado,Despachado Centralmente,90160.01,90160.01,0.0
2013-02-06,GUATAPE 560MW,Hidraulica,tipo no identificado,Despachado Centralmente,13413987.0,13413987.0,13440000.0
2013-02-05,FLORES1CC_160MW,Termica,Termica,Despachado Centralmente,728176.13,728176.13,664000.0
2013-02-05,GUAJIRA1 CARBON 145MW,Termica,Termica,Despachado Centralmente,3393180.0,3393180.0,3480000.0
2013-02-05,PORCE II 405MW,Hidraulica,tipo no identificado,Despachado Centralmente,50600.0,50600.0,0.0
2013-02-05,GUATAPE 560MW,Hidraulica,tipo no identificado,Despachado Centralmente,13371470.0,13371470.0,13440000.0
